k,d,recall,time
747,0.330976,1.000000,1.596092
748,0.330976,1.000000,1.596092
749,0.330976,1.000000,1.596092
750,0.330976,1.000000,1.596092
751,0.330976,1.000000,1.596092
752,0.330976,1.000000,1.596092
753,0.330976,1.000000,1.596092
754,0.330976,1.000000,1.596092
755,0.330976,1.000000,1.596092
756,0.330976,1.000000,1.596092
757,0.330976,1.000000,1.596092
758,0.330976,1.000000,1.596092
759,0.330976,1.000000,1.596092
760,0.330976,1.000000,1.596092
761,0.330976,1.000000,1.596092
762,0.330976,1.000000,1.596092
763,0.330976,1.000000,1.596092
764,0.330976,1.000000,1.596092
765,0.330976,1.000000,1.596092
766,0.330976,1.000000,1.596092
767,0.330976,1.000000,1.596092
768,0.330976,1.000000,1.596092
769,0.330976,1.000000,1.596092
770,0.330976,1.000000,1.596092
771,0.330976,1.000000,1.596092
772,0.330976,1.000000,1.596092
773,0.330976,1.000000,1.596092
774,0.330976,1.000000,1.596092
775,0.330976,1.000000,1.596092
776,0.330976,1.000000,1.596092
777,0.330976,1.000000,1.596092
778,0.330976,1.000000,1.596092
779,0.330976,1.000000,1.596092
780,0.330976,1.000000,1.596092
781,0.330976,1.000000,1.596092
782,0.330976,1.000000,1.596092
783,0.330976,1.000000,1.596092
784,0.330976,1.000000,1.596092
785,0.330976,1.000000,1.596092
786,0.330976,1.000000,1.596092
787,0.330976,1.000000,1.596092
788,0.330976,1.000000,1.596092
789,0.330976,1.000000,1.596092
790,0.330976,1.000000,1.596092
791,0.330976,1.000000,1.596092
792,0.330976,1.000000,1.596093
793,0.330976,1.000000,1.596093
794,0.330976,1.000000,1.596093
795,0.330976,1.000000,1.596093
796,0.330976,1.000000,1.596093
797,0.330976,1.000000,1.596093
798,0.330976,1.000000,1.596093
799,0.330976,1.000000,1.596093
800,0.330976,1.000000,1.596093
801,0.330976,1.000000,1.596093
802,0.330976,1.000000,1.596093
803,0.330976,1.000000,1.596093
804,0.330976,1.000000,1.596093
805,0.330976,1.000000,1.596093
806,0.330976,1.000000,1.596093
807,0.330976,1.000000,1.596093
808,0.330976,1.000000,1.596093
809,0.330976,1.000000,1.596093
810,0.330976,1.000000,1.596093
811,0.330976,1.000000,1.596093
812,0.330976,1.000000,1.596093
813,0.330976,1.000000,1.596093
814,0.330976,1.000000,1.596093
815,0.330976,1.000000,1.596093
816,0.330976,1.000000,1.596093
817,0.330976,1.000000,1.596093
818,0.330976,1.000000,1.596093
819,0.330976,1.000000,1.596093
820,0.330976,1.000000,1.596093
